code;class;sex;prevalence
O32;ICD_codes;male;0.0
O26;ICD_codes;male;0.0
D27;ICD_codes;male;0.0
N76;ICD_codes;male;0.0
is_female;Questionnaire;male;0.0
634;Phecodes;male;0.0
D28;ICD_codes;male;0.0
635;Phecodes;male;0.0
603;Phecodes;female;0.0
N77;ICD_codes;male;0.0
N80;ICD_codes;male;0.0
D25;ICD_codes;male;0.0
601;Phecodes;female;0.0
N83;ICD_codes;male;0.0
636;Phecodes;male;0.0
256;Phecodes;male;0.0
600;Phecodes;female;0.0
642;Phecodes;male;0.0
643;Phecodes;male;0.0
644;Phecodes;male;0.0
R36;ICD_codes;female;0.0
R37;ICD_codes;female;0.0
N84;ICD_codes;male;0.0
O36;ICD_codes;male;0.0
N75;ICD_codes;male;0.0
N72;ICD_codes;male;0.0
N70;ICD_codes;male;0.0
O46;ICD_codes;male;0.0
D06;ICD_codes;male;0.0
O48;ICD_codes;male;0.0
N46;ICD_codes;female;0.0
N45;ICD_codes;female;0.0
O60;ICD_codes;male;0.0
N43;ICD_codes;female;0.0
O62;ICD_codes;male;0.0
O64;ICD_codes;male;0.0
O65;ICD_codes;male;0.0
N41;ICD_codes;female;0.0
N52;ICD_codes;female;0.0
N40;ICD_codes;female;0.0
O70;ICD_codes;male;0.0
627;Phecodes;male;0.0
628;Phecodes;male;0.0
O80;ICD_codes;male;0.0
O91;ICD_codes;male;0.0
O42;ICD_codes;male;0.0
O99;ICD_codes;male;0.0
O41;ICD_codes;male;0.0
615;Phecodes;male;0.0
623;Phecodes;male;0.0
D05;ICD_codes;male;0.0
645;Phecodes;male;0.0
R87;ICD_codes;male;0.0
646;Phecodes;male;0.0
Z17;ICD_codes;male;0.0
A56;ICD_codes;male;0.0
O03;ICD_codes;male;0.0
185;Phecodes;female;0.0
Z32;ICD_codes;male;0.0
184;Phecodes;male;0.0
Z33;ICD_codes;male;0.0
Z34;ICD_codes;male;0.0
O09;ICD_codes;male;0.0
182;Phecodes;male;0.0
180;Phecodes;male;0.0
174;Phecodes;male;0.0
661;Phecodes;male;0.0
665;Phecodes;male;0.0
O20;ICD_codes;male;0.0
Z36;ICD_codes;male;0.0
Z37;ICD_codes;male;0.0
L68;ICD_codes;male;0.0
Z39;ICD_codes;male;0.0
O21;ICD_codes;male;0.0
O24;ICD_codes;male;0.0
131;Phecodes;male;0.0
Z97;ICD_codes;male;0.0
O02;ICD_codes;male;0.0
E28;ICD_codes;male;0.0
A59;ICD_codes;male;0.0
655;Phecodes;male;0.0
S27;ICD_codes;female;0.0
622;Phecodes;male;0.0
N85;ICD_codes;male;0.0
N87;ICD_codes;male;0.0
649;Phecodes;male;0.0
N88;ICD_codes;male;0.0
652;Phecodes;male;0.0
